question,answer,category
What is the minimum attendance required at GNITS?,Students must maintain a minimum of 75% attendance in each subject to be eligible for semester end examinations.,academics
What happens if my attendance falls below 75%?,Students with less than 75% attendance will not be permitted to appear in semester end examinations for that subject.,academics
Can attendance shortage be condoned at GNITS?,Yes. Students with attendance between 65% and 75% can apply for condonation with valid medical or other genuine reasons. Maximum 10% condonation is granted.,academics
How is attendance calculated at GNITS?,Attendance is calculated separately for theory and laboratory subjects from the first day of class to the last working day of the semester.,academics
Can parents view my attendance online?,Yes. Parents and students can view attendance on the GNITS ERP portal at gnits.ac.in/erp. Automated SMS is sent when attendance falls below 80%.,academics
How many internal exams are there per semester?,There are two mid-term exams per semester. First mid is after the first half of the syllabus and second mid is after the complete syllabus.,academics
What is the marks distribution for subjects at GNITS?,Each subject has 30 marks for internal assessment and 70 marks for the JNTUH semester end examination making a total of 100 marks.,academics
What is the minimum marks to pass in semester exams?,Students must score a minimum of 35 out of 70 marks in the JNTUH semester end examination to pass a subject.,academics
What grading system does GNITS follow?,GNITS follows the JNTUH CBCS (Choice Based Credit System) grading system with grades ranging from O (Outstanding) to F (Fail).,academics
What is the grade for scoring 91 to 100 marks?,Students scoring 91 to 100 marks receive the O (Outstanding) grade which carries 10 grade points.,academics
What grade do I get if I score between 81 and 90?,Scoring 81 to 90 marks gives you an A+ (Excellent) grade which carries 9 grade points.,academics
How is CGPA calculated at GNITS?,CGPA is calculated as the sum of (Credit × Grade Points for all semesters) divided by the total number of credits earned.,academics
What is SGPA?,SGPA is Semester Grade Point Average. It is calculated as the sum of (Credit × Grade Points) for that semester divided by the total credits in that semester.,academics
When are semester end exams conducted?,Odd semester exams are in November/December and even semester exams are in May/June. Schedule is announced by JNTUH.,academics
What is a supplementary examination?,A supplementary exam is an additional opportunity for students who fail in one or more subjects to clear the backlog. It is conducted by JNTUH after semester results.,academics
What documents are needed for hall ticket?,Students must have 75% or more attendance (or valid condonation), all fee dues cleared, and no active disciplinary issues to receive hall ticket.,academics
What is the dress code at GNITS?,On regular days students should wear salwar kameez or churidar with dupatta. Jeans and T-shirts are permitted on Saturdays (non-formals day).,academics
Are mobile phones allowed in classrooms?,No. Mobile phones are strictly not allowed inside classrooms and laboratories. Violations result in phone confiscation.,academics
What is JNTUH?,JNTUH stands for Jawaharlal Nehru Technological University Hyderabad. GNITS is affiliated to JNTUH and all B.Tech exams are conducted by JNTUH.,academics
What is CBCS?,CBCS stands for Choice Based Credit System. It is the academic system followed by JNTUH affiliated colleges including GNITS.,academics
How many total credits are needed for B.Tech?,Approximately 160 credits are required to complete B.Tech degree from JNTUH.,academics
When does the odd semester begin?,The odd semester typically begins in the last week of August and runs until November/December.,academics
What are the college timings at GNITS?,Regular college hours are from 9:00 AM to 5:00 PM Monday through Saturday.,academics
Is there a college ERP portal?,Yes. GNITS has an ERP portal at gnits.ac.in/erp where students can view attendance marks fees and other academic information.,academics
How many assignments are given per subject?,Two assignments per subject per semester are typically given in addition to mid-term examinations.,academics
What is the placement percentage at GNITS?,GNITS has an approximately 85% placement rate with 450+ students placed in the 2023-24 academic year.,placements
What is the highest package offered at GNITS placements?,The highest package offered through GNITS campus placements is 12 LPA (Lakhs Per Annum).,placements
What is the average salary package at GNITS?,The average salary package at GNITS campus placements is approximately 4.5 LPA.,placements
Which companies recruit from GNITS?,Major recruiters include TCS, Infosys, Wipro, Cognizant, HCL, Capgemini, Accenture, IBM, Tech Mahindra and many others. 80+ companies visit every year.,placements
Does TCS come for campus placements at GNITS?,Yes. TCS (Tata Consultancy Services) is a regular recruiter at GNITS offering packages starting from 3.5 LPA.,placements
Does Infosys recruit from GNITS?,Yes. Infosys is a regular recruiter at GNITS. They typically hire students for software roles with packages starting from 3.6 LPA.,placements
What is the eligibility for campus placements?,Students need minimum 60% aggregate in all semesters, no active backlogs at time of drive, and must be registered with the T&P Cell.,placements
How do I register for campus placements?,Students must register with the Training and Placement Cell at the beginning of their final year by filling the registration form and submitting required documents.,placements
Where is the placement cell located?,The Training and Placement Cell is located at the Administrative Block Ground Floor Room G1.,placements
What are the placement cell timings?,The T&P Cell is open Monday to Saturday from 9:00 AM to 5:00 PM.,placements
Who is the Training and Placement Officer at GNITS?,The Training and Placement Officer at GNITS is Mr. V. Narayana. Contact: tpo@gnits.ac.in or 040-23004092.,placements
What training does the placement cell provide?,The T&P Cell provides aptitude training, technical training, soft skills training, mock interviews, resume building workshops, and group discussion practice.,placements
When does placement season start?,Campus placement season typically begins from October-November for final year students. Some companies visit in July-August too.,placements
What is a PPO (Pre-Placement Offer)?,A PPO is an offer given by a company after a successful internship. Students who perform well during internship may receive a full-time job offer.,placements
Can I apply to multiple companies during campus placements?,GNITS follows a single offer policy for most drives. Once you accept an offer you should inform the T&P Cell before applying to another company. Check with TPO for specifics.,placements
Are there internship opportunities at GNITS?,Yes. The T&P Cell assists students in finding internships. Internships are mandatory for B.Tech third year students as per JNTUH curriculum.,placements
What is the internship duration for B.Tech students?,The internship is typically 2 months long usually during June and July after the third year.,placements
How do I get an internship through GNITS?,Register with the T&P Cell, attend internship guidance sessions, apply through the placement portal, or arrange your own internship with T&P Cell approval.,placements
Does Amazon or Google recruit from GNITS?,Yes but very selectively. Amazon and Google do visit for exceptional students with packages of 8+ LPA and 10+ LPA respectively.,placements
What is the placement portal URL?,The GNITS placement portal is accessible at gnits.ac.in/placement where students can create profiles, view JDs, and apply for companies.,placements
What should I do in first and second year to prepare for placements?,Focus on CGPA (aim 7.0+), learn programming (C/C++/Java/Python), avoid backlogs, build logical reasoning skills, and participate in coding competitions.,placements
What is the dress code for placement drives?,Formal dress code is mandatory for all placement drives. College ID card must also be carried.,placements
What happens if I am selected for a drive but don't attend?,Students who are shortlisted and absent without prior intimation may be barred from future placement drives.,placements
Is there hostel facility available at GNITS?,Yes. GNITS provides hostel accommodation for female students (as GNITS is a women's college) within the campus premises.,hostel
How many hostel blocks are there at GNITS?,There are two hostel blocks: Block A (capacity 200 students) and Block B (capacity 250 students).,hostel
What types of rooms are available in GNITS hostel?,Block A has double and triple sharing rooms. Block B has single and double sharing rooms.,hostel
What is the hostel fee at GNITS?,Hostel fees range from Rs. 45,000 per year for triple sharing in Block A to Rs. 75,000 per year for single room in Block B. Mess is included.,hostel
Is there a security deposit for the hostel?,Yes. A refundable security deposit of Rs. 5,000 is required along with a one-time admission fee of Rs. 1,000.,hostel
What is the hostel gate timing?,Hostel gates open at 6:00 AM. Main gates close at 9:00 PM. No entry or exit is permitted after 9:00 PM without prior warden permission.,hostel
Is WiFi available in the hostel?,Yes. WiFi is available throughout the hostel campus using student credentials.,hostel
What is the lights out time in the hostel?,Lights out is at 10:30 PM in the hostel.,hostel
Are visitors allowed in the hostel?,Female family members can visit between 10:00 AM and 6:00 PM. Visitors must sign in at security and meet residents in the visitor lounge only.,hostel
Can male visitors enter the hostel?,Male visitors (fathers, brothers) are only permitted at the main college reception area and not inside the hostel building.,hostel
Is there hot water facility in the hostel?,Yes. Hot water is available from 6:00 AM to 8:00 AM in the morning and 7:00 PM to 9:00 PM in the evening.,hostel
What food is served in the hostel mess?,The hostel mess serves South Indian and North Indian vegetarian and non-vegetarian meals including idli, dosa, rice, chapati, and special Sunday meals.,hostel
How do I apply for hostel accommodation?,Fill the hostel application form from the college admissions office or online. Submit required documents including photos and medical certificate. Pay security deposit.,hostel
Who is the hostel warden?,Block A Warden is Ms. K. Jayashree (040-23004110). Block B Warden is Ms. P. Nagamani (040-23004111). Chief Warden is Ms. K. Suneetha.,hostel
Are cooking facilities available in hostel rooms?,No. Cooking inside rooms is strictly prohibited as it is a fire hazard. Mess facility is available for all meals.,hostel
Can students stay out at night during weekends?,Night out requires written permission from parent/guardian in advance and approval from the hostel warden.,hostel
What is the study hours timing in hostel?,Mandatory study hours are from 7:00 PM to 10:00 PM.,hostel
Is there a common room in the hostel?,Yes. Both blocks have a common room with TV and indoor games facility.,hostel
What happens if a student violates hostel rules?,Violations lead to warnings, fines, and in serious cases suspension from hostel. Parents are also informed.,hostel
Is there CCTV in the hostel?,Yes. CCTV surveillance is installed throughout the hostel campus for safety.,hostel
What are the library timings at GNITS?,The library is open Monday to Saturday from 8:00 AM to 8:00 PM. On Sundays it is open from 9:00 AM to 1:00 PM for the reading room.,library
Where is the GNITS library located?,The GNITS Central Library is located at the Library Building Ground Floor on the main campus.,library
How many books are available in the GNITS library?,The GNITS Central Library has over 55,000 volumes covering all engineering and management subjects.,library
How many books can a B.Tech student borrow?,B.Tech students can borrow up to 3 books at a time for a period of 14 days.,library
Can I renew library books?,Yes. Books can be renewed once if no other reservation exists. Renewal must be done before the due date at the library counter or online.,library
What is the fine for late return of library books?,The fine for late return is Rs. 2 per day per book for students. Fines must be cleared to continue borrowing books.,library
What should I do if I lose a library book?,Report the loss immediately to the librarian. You will need to replace it with the same edition or pay double the cost (minimum Rs. 500).,library
Is there a reading room in the library?,Yes. The reading room is on the first floor of the library with a capacity of 150 students. It is open till 9:00 PM on weekdays.,library
Does GNITS library have digital resources?,Yes. The library provides access to NPTEL video lectures, N-LIST e-journals and e-books, Shodhganga dissertations, and DELNET inter-library loans.,library
Can I access NPTEL through the GNITS library?,Yes. NPTEL video lectures and online certifications are accessible from all campus computer systems through the library.,library
